subject,list,trial,prime_given,prime_condition,target,state,state_RT,response,response_RT,accuracy,prompt,distance
60,ExpProc4,22,FLASHY,semantic,ostentatious,know,1094,flashy,1584,0,Characterized by vulgar or conspicuous display,12
60,ExpProc4,23,WINE,unrelated,carcass,know,1624,carcass,1744,1,"The complete remains of a dead animal, especially at a butcher's",7
60,ExpProc4,24,ELUSIVE,phonological,elucidate,know,3578,describe,2456,0,To make something clear; explain in detail,9
60,ExpProc4,25,LOCK,unrelated,Carver,dontknow,1990,12345,1065,0,Last name of man credited with inventing peanut butter,6
60,ExpProc4,26,PRESENTATION,both,proposition,know,6186,proposal,2463,0,Something offered for consideration or acceptance,12
60,ExpProc4,27,FORSEE,phonological,fortuitous,tipoftongue,4915,12345,4731,0,Happening by a lucky chance or by accident rather than by design,10
60,ExpProc4,28,BAGEL,unrelated,chameleon,know,461,chameleon,2301,1,A small lizard with skin that changes color to match its surroundings,9
60,ExpProc4,29,DEED,phonological,Dean,dontknow,1594,12345,1092,0,Last name of American actor known for his role in Rebel Without A Cause,3
60,ExpProc4,30,TRIPOLI,semantic,Nairobi,dontknow,2827,12345,1018,0,Capital of Kenya,7
60,ExpProc4,31,PERSISTENT,semantic,obstinate,know,766,persistent,3651,0,"Stubbornly refusing to change one's opinion or action, despite reason, arguments, or persuasion",10
60,ExpProc4,32,INVALIDATE,semantic,nullify,know,445,invalidate,1982,0,Make of no use or value; cancel out,10
60,ExpProc4,33,SHELLEY,both,Shaw,know,926,Shelley,1846,0,Last name of Irish author well known for Pygmalion and Man and Superman,6
60,ExpProc4,34,DREDGE,semantic,hoist,know,856,lift,4642,0,To raise into position by means of a pulley,6
60,ExpProc4,35,CLEAVE,semantic,mince,know,590,dice,1120,0,To cut or chop food into very small pieces,6
60,ExpProc4,36,REITERATE,both,recapitulate,know,1871,summarize,1901,0,Summarize and state again the main points of something,12
60,ExpProc4,37,SCREEN,unrelated,allocation,dontknow,5566,saved,2603,0,Portion set aside for a specific purpose or to particular persons or things,10
60,ExpProc4,38,YOUTH,unrelated,binomial,know,1667,equation,1866,0,A mathematical expression consisting of two terms,8
60,ExpProc4,39,WOOD,unrelated,accolade,tipoftongue,4033,applaud,5647,0,A ceremonial embrace; an award or expression of praise,8
60,ExpProc4,40,PERJURY,semantic,libel,know,1309,lying,6328,0,The illegal act of writing untrue things about someone,7
60,ExpProc4,41,JUDGE,unrelated,banal,know,330,usual,1622,0,Obvious or trite; commonplace,5
60,ExpProc4,42,DENIZEN,phonological,denigrate,tipoftongue,3446,slander,4760,0,To criticize unfairly; to attack the reputation of,9
60,ExpProc4,43,PLACEBO,both,panacea,know,1720,Superdrug,2099,0,A medicine which can cure any illness,7
60,ExpProc4,44,SUNDSVALL,both,Stockholm,other,3136,Helsinki,2076,0,Capital of Sweden,8
60,ExpProc4,45,TENNYSON,both,Thoreau,dontknow,1827,12345,986,0,Last name of American transcendentalist known for Walden and Civil Disobedience,7
60,ExpProc4,46,PRESUMPTUOUS,both,pretentious,tipoftongue,6354,12345,722,0,Attempting to impress by affecting greater importance or talent than is actually possesssed,12
60,ExpProc4,47,PROGNOSIS,both,prophecy,know,4004,premonition,2339,0,A prediction of what will happen in the future,9
60,ExpProc4,48,PINK,unrelated,abdicate,tipoftongue,5748,12345,8856,0,To formally renounce a throne,8
60,ExpProc4,49,BOTTLE,unrelated,auspicious,tipoftongue,4870,promise,2615,0,Showing or suggesting that future success is likely,10
60,ExpProc4,50,PROVOKE,semantic,instigate,know,659,provoke,2331,0,"To goad or push forward; to incite someone to do something, especially something bad",9
60,ExpProc4,51,LENGTH,unrelated,Clay,dontknow,2072,12345,1218,0,Original last name of Muhammad Ali,6
60,ExpProc4,52,HANDKERCHIEF,phonological,Helsinki,know,825,Helsinki,2462,1,Capital of Finland,11
60,ExpProc4,53,CONTUSION,semantic,hemorrhage,other,9724,gushing,6367,0,"The escape of blood from vessels, including internal and external bleeding",10
60,ExpProc4,54,DAWN,phonological,Dante,know,657,Dante,1226,1,Italian poet known for writing The	Inferno,4
60,ExpProc4,55,MINT,unrelated,Caracas,other,1515,mince,2591,0,Capital of Venezuela,7
60,ExpProc4,56,HERPETOLOGY,semantic,ornithology,other,2093,aviation,3847,0,Branch of zoology dealing with birds,11
60,ExpProc4,57,VIEW,unrelated,anachronism,other,2865,counting,2583,0,Something out of keeping with the time in which it exists,11
60,ExpProc4,58,BLOSSOMING,semantic,herbaceous,know,1161,bush,1254,0,"Term for type of plant without woody or persistent stem, whose leaves and roots are often used for food, medicine, or scent",10
60,ExpProc4,59,DECADENCE,phonological,deference,tipoftongue,6959,devotion,2282,0,Humble submission and respect,9
60,ExpProc4,60,PARADIGM,both,paragon,know,4909,prodigy,1493,0,A person or thing characterized as a perfect example of a particular quality,8
60,ExpProc4,61,HANDLE,phonological,Hancock,know,2327,Jefferson,3848,0,Last name of first man to sign the Declaration of Independence,6
60,ExpProc4,62,BANNER,unrelated,Casablanca,dontknow,2979,12345,1645,0,Capital of Morocco and famous movie title,10
60,ExpProc4,63,CUMMERBUND,phonological,Cummings,other,3478,wordsworth,2647,0,20th century American poet whose trademark was using only lowercase letters,9
60,ExpProc4,64,PREMATURE,both,precocious,dontknow,5178,12345,649,0,Having developed certain abilities or proclivities at an earlier age than usual,10
60,ExpProc4,65,FACILITATE,phonological,facetious,tipoftongue,9327,diffuse,6401,0,Treating serious issues with deliberately inappropiate humor,10
60,ExpProc4,66,ONTARIO,both,Ottawa,know,1491,Ontario,1448,0,Capital of Canada,6
60,ExpProc4,67,FOLDING,phonological,foliage,know,2604,foliage,1611,1,"A cluster of leaves, buds, or branches",7
60,ExpProc4,68,KNOCK,unrelated,Clemens,dontknow,525,12345,987,0,Original last name of Mark Twain,7
60,ExpProc4,69,TWITCH,both,tic,know,273,twitch,1663,0,"A habitual spastic motion of particular muscles, especially in the face",6
60,ExpProc4,70,ELEPHANT,phonological,epithet,other,1604,typical,3589,0,An adjective or phrase expressing a quality regarded as characteristic of the person or thing,8
60,ExpProc4,71,BERLIN,semantic,Nuremberg,dontknow,3654,12345,753,0,German city for which antisemitic laws were named,9
60,ExpProc4,72,PLUG,unrelated,Batista,dontknow,1380,12345,1973,0,Cuban president overthrown by Castro,7
60,ExpProc4,73,SOLO,both,Skywalker,know,1061,Skywalker,2048,1,Last name of Leia's brother and Darth Vader's son in Star Wars,8
60,ExpProc4,74,ROBERTSON,both,Robinson,dontknow,421,12345,838,0,Last name of first African American Major League Baseball player,8
60,ExpProc4,75,ENDLESS,semantic,omnipotent,tipoftongue,8296,invincible,4877,0,Having unlimited power; able to do anything,10
60,ExpProc4,76,ECSTATIC,phonological,eccentric,know,293,weird,1435,0,Unconventional and slightly strange; deviating from an established or usual pattern or style,9
60,ExpProc4,77,SAIGON,both,Seoul,know,341,soul,1153,0,Capital of South Korea,5
60,ExpProc4,78,VERBOSE,semantic,loquacious,know,928,verbose,2336,0,Tending to talk much or freely; chatty,10
60,ExpProc4,79,TRUCK,unrelated,Alcott,dontknow,457,12345,584,0,Last name of author of Little Women,6
60,ExpProc4,80,GHANDI,semantic,Mandela,know,2965,Mandela,2984,1,Last name of South African imprisoned for 27 years before becoming president,7
60,ExpProc4,81,BOOTH,semantic,Oswald,know,5207,Wilkes,3190,0,Last name of JFK's assassin,6
60,ExpProc4,82,PROMISCUOUS,both,polygamy,know,3935,polygamous,6441,0,The practice of having more than one spouse at the same time,11
60,ExpProc4,83,REEVES,both,Revere,know,257,Revere,1802,1,Last name of American revolutionary known for his midnight ride,5
60,ExpProc4,84,MENTION,semantic,interject,know,1269,interrupt,3857,0,"To say something abruptly, especially as an aside or interruption",9
60,ExpProc4,85,CAP,unrelated,Bangkok,know,438,Saigon,1264,0,Capital of Thailand,7
60,ExpProc4,86,DIVA,phonological,diverge,know,1756,diverge,1944,1,To extend in separate directions from a common point; to turn aside or deviate,7
60,ExpProc4,87,GARNISH,phonological,Garland,dontknow,580,12345,520,0,Last name of actress who played Dorothy in Wizard of Oz,6
60,ExpProc4,88,CHUTE,unrelated,anagram,know,623,acrostic,6049,0,"Word made by changing the order of letters in another word; e.g. plum, lump",7
60,ExpProc4,89,CAT,unrelated,abacus,other,463,slide rule,1943,0,Instrument for performing calculations by sliding beads along rods or grooves,6
60,ExpProc4,90,TYPHOON,both,tsunami,know,2405,typhoon,2369,0,The proper name for a tidal	wave,7
60,ExpProc4,91,DEPTH,phonological,deplete,other,2607,deprive,3190,0,To empty of a principal substance; to exhaust the abundance of,7
60,ExpProc4,92,TERSE,both,taciturn,know,3889,quiet,1788,0,"Saying little, reserved, uncommunicative",8
60,ExpProc4,93,DOVE,unrelated,abstain,dontknow,3224,12345,586,0,To refrain deliberately and often with an effort of self-denial from an action or practice,7
60,ExpProc4,94,INVARIABILITY,semantic,monotony,know,216,monotone,1852,0,Tedious sameness of tone or sound,13
60,ExpProc4,95,YOSEMITE,both,Yellowstone,know,1122,Yosemite,2711,0,National park in which Old Faithful is located,10
60,ExpProc4,96,SARDINIA,both,Sicily,other,1931,Cyprus,3561,0,The largest Mediterranean island; the Italian island known for its archaelogical sites and major cities such as Palermo,7
60,ExpProc4,97,GOBLIN,phonological,gosling,other,1161,gosling,2420,1,A young goose,7
60,ExpProc4,98,UNIQUENESS,semantic,idiosyncrasy,know,290,oddity,2121,0,"A distinctive or peculiar feature or characteristic of an individual, place, or thing",12
60,ExpProc4,99,CONVENIENT,phonological,covenant,know,496,covenant,2447,1,A promise between God and humans,10
60,ExpProc4,100,ESOTERIC,semantic,obscure,know,460,esoteric,2020,0,Not readily understood or clearly expressed,8
61,ExpProc1,1,MONOGAMY,both,monotony,know,12908,monotonous,7037,0,Tedious sameness of tone or sound,8
61,ExpProc1,2,ADVERB,phonological,advocate,other,12191,advoc,11776,0,To plead the cause of another; to support or promote,8
61,ExpProc1,3,PUPPY,semantic,gosling,dontknow,10295,12345,3056,0,A young goose,7
61,ExpProc1,4,O'DONNELL,both,O'Connor,other,9957,O'Donnell,4361,0,Last name of first female US Supreme Court justice,7
61,ExpProc1,5,WORK,unrelated,pretentious,other,8876,brag,5077,0,Attempting to impress by affecting greater importance or talent than is actually possesssed,11
61,ExpProc1,6,CARELESS,phonological,Carroll,tipoftongue,11284,12345,2091,0,Last name of author of Alice in Wonderland,7
61,ExpProc1,7,BARK,phonological,barter,other,6730,barter,6644,1,To trade by exchanging goods for other goods rather than money,6
61,ExpProc1,8,MASH,both,mince,other,6547,dice,6068,0,To cut or chop food into very small pieces,5
61,ExpProc1,9,COIN,unrelated,Prague,know,1698,Prague,2376,1,Capital of Czechoslovakia,6
61,ExpProc1,10,COMMENCE,phonological,Clemens,dontknow,2030,12345,2351,0,Original last name of Mark Twain,7
61,ExpProc1,11,OPAQUE,both,obscure,other,6562,cryptic,8179,0,Not readily understood or clearly expressed,7
61,ExpProc1,12,RWANDA,semantic,Darfur,know,832,Darfur,2340,1,Region in Sudan where guerilla conflict and possibly genocide began in 2003,6
61,ExpProc1,13,LITERATE,both,loquacious,dontknow,0,12345,2657,0,Tending to talk much or freely; chatty,10
61,ExpProc1,14,AUSTERE,phonological,auspicious,other,7192,reassuring,6466,0,Showing or suggesting that future success is likely,10
61,ExpProc1,15,YIELDING,semantic,deference,other,12453,honor,1589,0,Humble submission and respect,9
61,ExpProc1,16,OTOLARYNGOLOGY,both,ornithology,dontknow,6909,12345,1921,0,Branch of zoology dealing with birds,14
61,ExpProc1,17,HUM,unrelated,Thoreau,know,3063,Thoreau,3830,1,Last name of American transcendentalist known for Walden and Civil Disobedience,7
61,ExpProc1,18,BIZARRE,semantic,eccentric,know,8173,bizarre,2694,0,Unconventional and slightly strange; deviating from an established or usual pattern or style,9
61,ExpProc1,19,CARWASH,phonological,Carver,know,1935,Washington,3581,0,Last name of man credited with inventing peanut butter,6
61,ExpProc1,20,SHELL,unrelated,recapitulate,other,9511,summarize,11278,0,Summarize and state again the main points of something,12
61,ExpProc1,21,SURRENDER,semantic,default,dontknow,10783,12345,838,0,"To fail to act, to pay, or to appear for judgment in court",9
61,ExpProc1,22,LAWN,unrelated,Quayle,know,3711,Cheney,2136,0,Last name of vice president of George H.W. Bush,6
61,ExpProc1,23,SWEAT,unrelated,Revere,know,8881,Adams,2946,0,Last name of American revolutionary known for his midnight ride,6
61,ExpProc1,24,OPINIONATED,both,obstinate,other,14236,headstrong,2751,0,"Stubbornly refusing to change one's opinion or action, despite reason, arguments, or persuasion",11
61,ExpProc1,25,ANDROID,phonological,Andes,know,255,Andes,2173,1,South America's largest mountain range,6
61,ExpProc1,26,WATCH,unrelated,Sicily,know,1207,Sicily,2901,1,The largest Mediterranean island; the Italian island known for its archaelogical sites and major cities such as Palermo,6
61,ExpProc1,27,WEAK,unrelated,tic,know,2656,twitch,3933,0,"A habitual spastic motion of particular muscles, especially in the face",4
61,ExpProc1,28,VEGETATION,semantic,foliage,other,5359,underbrush,5633,0,"A cluster of leaves, buds, or branches",10
61,ExpProc1,29,TROUT,unrelated,prophecy,know,1242,fortune,2751,0,A prediction of what will happen in the future,8
